,cv_id,full_name,phone,email,gender,date_of_birth,nationality,city,province,education_level,institution,graduation_year,major,certifications,languages,language_proficiency,total_years_experience,current_job_title,employment_status,preferred_job_type,preferred_location,salary_expectation_min,salary_expectation_max,availability,skills_technical,skills_soft,work_experience_json,projects_json,references_json,resume_quality_score,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
17,18,George Mudenda,261000000000.0,george.mudenda@email.com,Male,09/08/1984,Zambian,Sesheke,Western,Certificate,Sesheke Trades School,2003,Masonry,"Trade Test, Construction Safety","English,Lozi,Silozzi",Basic,16,Master Mason,Self-Employed,Contract,Western,6000,9000,Immediate,"Bricklaying, Concrete Work, Blueprint Reading","Quality Focus, Team Leadership, Reliability","[{""title"":""Master Mason""","company:""Mudenda Construction""","location:""Sesheke""","start_date:""2010-02""",,,,,,,,,,,,,,,,,,,,,,,
18,19,Loveness Mtonga,261000000000.0,loveness.mtonga@email.com,Female,25/11/1992,Zambian,Kapiri Mposhi,Central,Bachelor's,Nkrumah University,2013,Public Administration,"Project Management, Public Policy","English,Bemba",Fluent,6,Administrative Officer,Employed,Full-time,Central,8500,12000,2 weeks,"Office Management, Records Management, Procurement","Organization, Communication, Interpersonal Skills","[{""title"":""Administrative Officer""","company:""Central Province Administration""","location:""Kabwe""","start_date:""2016-08""",,,,,,,,,,,,,,,,,,,,,,,
19,20,Mercy Ngulube,261000000000.0,mercy.ngulube@email.com,Female,18/06/1995,Zambian,Chongwe,Lusaka,Diploma,Evelyn Hone College,2014,Hospitality Management,"Food Safety, Customer Service","English,Nyanja",Intermediate,4,Hotel Supervisor,Employed,Full-time,Lusaka,6500,9500,1 month,"Front Office Operations, Reservation Systems, Guest Services","Customer Service, Problem-solving, Team Management","[{""title"":""Hotel Supervisor""","company:""Protea Hotel""","location:""Lusaka""","start_date:""2017-05""",,,,,,,,,,,,,,,,,,,,,,,
20,21,Gift Mukuka,261000000000.0,gift.mukuka@email.com,Male,12/03/1990,Zambian,Mufumbwe,North-Western,Bachelor's,Copperbelt University,2012,Mining Engineering,"Mine Safety, Blasting Certificate","English,Kaonde,Luvale",Fluent,7,Mining Engineer,Employed,Full-time,North-Western,15000,21000,1 month,"Mine Planning, Safety Management, Equipment Operation","Leadership, Safety Focus, Technical Analysis","[{""title"":""Mining Engineer""","company:""Kansanshi Mining""","location:""Solwezi""","start_date:""2016-02""",,,,,,,,,,,,,,,,,,,,,,,
21,22,Patricia Katongo,261000000000.0,patricia.katongo@email.com,Female,07/12/1988,Zambian,Luanshya,Copperbelt,Bachelor's,University of Zambia,2010,Finance,"CFA Level I, Banking Certificate","English,Bemba",Fluent,9,Branch Manager,Employed,Full-time,Copperbelt,16000,22000,2 months,"Financial Analysis, Risk Management, Team Leadership","Strategic Thinking, Customer Relations, Decision-making","[{""title"":""Branch Manager""","company:""Stanbic Bank""","location:""Luanshya""","start_date:""2016-09""",,,,,,,,,,,,,,,,,,,,,,,
22,23,Brian Kangwa,261000000000.0,brian.kangwa@email.com,Male,21/05/1993,Zambian,Mongu,Western,Diploma,Lusaka Business Technical College,2013,Logistics,"Supply Chain Management, Customs Clearing","English,Lozi",Intermediate,6,Logistics Coordinator,Employed,Full-time,Western,9000,13000,3 weeks,"Inventory Management, Transportation Planning, Customs","Organization, Problem-solving, Communication","[{""title"":""Logistics Coordinator""","company:""Bidvest Panalpina""","location:""Lusaka""","start_date:""2016-04""",,,,,,,,,,,,,,,,,,,,,,,
23,24,Mirriam Mwansa,261000000000.0,mirriam.mwansa@email.com,Female,03/08/1991,Zambian,Kalulushi,Copperbelt,Bachelor's,Copperbelt University,2012,Chemistry,"Laboratory Safety, Quality Control","English,Bemba",Fluent,7,Quality Control Chemist,Employed,Full-time,Copperbelt,11000,15000,1 month,"Chemical Analysis, Laboratory Techniques, Quality Systems","Attention to Detail, Analytical Thinking, Documentation","[{""title"":""Quality Control Chemist""","company:""Zambia Breweries""","location:""Ndola""","start_date:""2015-07""",,,,,,,,,,,,,,,,,,,,,,,
24,25,Beauty Njovu,261000000000.0,beauty.njovu@email.com,Female,14/02/1996,Zambian,Choma,Southern,Certificate,Choma Trades School,2015,Hair and Beauty,"Cosmetology License, Beauty Therapy","English,Tonga",Basic,3,Beauty Therapist,Self-Employed,Part-time,Southern,4000,6500,Immediate,"Hair Styling, Skin Care, Makeup, Nail Art","Creativity, Customer Service, Attention to Detail","[{""title"":""Beauty Therapist/Owner""","company:""Beauty's Salon""","location:""Choma""","start_date:""2017-01""",,,,,,,,,,,,,,,,,,,,,,,
25,26,Eunice Siame,261000000000.0,eunice.siame@email.com,Female,08/09/1992,Zambian,Mazabuka,Southern,Bachelor's,University of Zambia,2014,Nutrition,"Dietetics Certified, Food Safety","English,Tonga",Fluent,5,Nutritionist,Employed,Full-time,Southern,7500,10500,2 weeks,"Diet Planning, Nutritional Assessment, Health Education","Empathy, Communication, Analytical Skills","[{""title"":""Nutritionist""","company:""Ministry of Health""","location:""Mazabuka""","start_date:""2017-03""","end_date:""Present""","description:""Provide nutritional counseling and education""","achievements:[""Reduced malnutrition rates in assigned area by 25%""",Developed community nutrition programs]},"{""title"":""Nutrition Assistant""","company:""World Food Programme""","location:""Monze""","start_date:""2014-08""","end_date:""2017-02""","description:""Supported nutrition assessment and programs""","achievements:[""Improved feeding program efficiency""",Trained community health workers]}],"[{""name"":""Community Nutrition Program""","description:""Malnutrition prevention initiative""","technologies:""Nutrition Assessment"," Education Materials""","duration:""12 months""}]","[{""name"":""Dorothy Moyo""","relationship:""Health Coordinator""","phone:""+260955789013""","email:""dorothy.moyo@gov.zm""}]",7,
26,27,Dorothy Soko,261000000000.0,dorothy.soko@email.com,Female,19/04/1987,Zambian,Kalulushi,Copperbelt,Diploma,Nkana Trades School,2007,Secretarial Studies,"Office Administration, Typing Speed 60wpm","English,Bemba",Intermediate,10,Executive Assistant,Employed,Full-time,Copperbelt,8500,12000,1 month,"Office Management, Calendar Management, Document Preparation","Organization, Discretion, Communication","[{""title"":""Executive Assistant""","company:""Mopani Copper Mines""","location:""Kitwe""","start_date:""2014-06""","end_date:""Present""","description:""Support senior management with administrative tasks""","achievements:[""Improved meeting efficiency by 30%""",Managed complex travel arrangements]},"{""title"":""Administrative Secretary""","company:""ZCCM-IH""","location:""Ndola""","start_date:""2007-11""","end_date:""2014-05""","description:""Provided general administrative support""","achievements:[""Streamlined filing systems""",Trained 2 new administrative staff]}],"[{""name"":""Executive Support System""","description:""Management support optimization""","technologies:""Microsoft Office"," Scheduling Software""","duration:""Ongoing""}]","[{""name"":""Jane Nkandu""","relationship:""HR Director""","phone:""+260966890124""","email:""jane.nkandu@mcm.co.zm""}]",8,
27,28,Jane Manda,261000000000.0,jane.manda@email.com,Female,26/07/1994,Zambian,Chipata,Eastern,Bachelor's,Catholic University,2015,Journalism,"Media Ethics, Digital Content Creation","English,Nyanja,Chewa",Fluent,4,Journalist,Employed,Full-time,Eastern,7000,10000,3 weeks,"News Writing, Interviewing, Video Editing, Social Media","Communication, Research, Deadline-oriented","[{""title"":""Journalist""","company:""Times of Zambia""","location:""Chipata""","start_date:""2017-08""","end_date:""Present""","description:""Cover local news and feature stories""","achievements:[""Increased readership by 20% in assigned area""",Broke several major local stories]},"{""title"":""Intern Reporter""","company:""ZNBC""","location:""Lusaka""","start_date:""2015-09""","end_date:""2017-07""","description:""Assisted with news gathering and production""","achievements:[""Produced award-winning feature story""",Improved social media engagement]}],"[{""name"":""Rural Development Series""","description:""Investigative journalism project""","technologies:""Video Equipment"," Editing Software""","duration:""6 months""}]","[{""name"":""Christine Kasongo""","relationship:""Editor""","phone:""+260977901235""","email:""christine.kasongo@times.co.zm""}]",6,
28,29,Christine Malama,261000000000.0,christine.malama@email.com,Female,03/12/1991,Zambian,Kabwe,Central,Master's,University of Zambia,2013,Public Health,"Epidemiology, Health Promotion","English,Bemba",Fluent,6,Public Health Officer,Employed,Full-time,Central,11000,15000,2 months,"Epidemiology, Health Education, Program Evaluation","Analytical Thinking, Community Engagement, Leadership","[{""title"":""Public Health Officer""","company:""Ministry of Health""","location:""Kabwe""","start_date:""2016-05""","end_date:""Present""","description:""Coordinate public health programs and surveillance""","achievements:[""Reduced disease outbreak response time by 40%""",Improved immunization coverage by 25%]},"{""title"":""Health Promotion Officer""","company:""WHO Zambia""","location:""Lusaka""","start_date:""2013-10""","end_date:""2016-04""","description:""Implemented health education programs""","achievements:[""Developed successful health campaigns""",Trained 100+ community health workers]}],"[{""name"":""Malaria Prevention Program""","description:""Disease control initiative""","technologies:""Data Analysis"," Health Education""","duration:""18 months""}]","[{""name"":""Daniel Chalwe""","relationship:""Health Director""","phone:""+260955012346""","email:""daniel.chalwe@gov.zm""}]",9,
29,30,Daniel Chileshe,261000000000.0,daniel.chileshe@email.com,Male,17/06/1989,Zambian,Ndola,Copperbelt,Bachelor's,Copperbelt University,2010,Mechanical Engineering,"Professional Engineer, AutoCAD Certified","English,Bemba",Fluent,9,Mechanical Engineer,Employed,Full-time,Copperbelt,17000,23000,1 month,"Machine Design, CAD, Project Management, Maintenance","Technical Leadership, Problem-solving, Innovation","[{""title"":""Mechanical Engineer""","company:""Lafarge Zambia""","location:""Ndola""","start_date:""2015-02""","end_date:""Present""","description:""Design and maintain manufacturing equipment""","achievements:[""Improved equipment reliability by 35%""",Reduced maintenance costs by 20%]},"{""title"":""Design Engineer""","company:""Zambezi Steel""","location:""Kafue""","start_date:""2010-09""","end_date:""2015-01""","description:""Designed mechanical components and systems""","achievements:[""Patented 2 mechanical improvements""",Improved production efficiency]}],"[{""name"":""Equipment Modernization""","description:""Manufacturing equipment upgrade""","technologies:""CAD"," Finite Element Analysis""","duration:""10 months""}]","[{""name"":""Juliet Mubita""","relationship:""Engineering Manager""","phone:""+260966123458""","email:""juliet.mubita@lafarge.com""}]",8,
30,31,Juliet Kalunga,261000000000.0,juliet.kalunga@email.com,Female,29/03/1993,Zambian,Livingstone,Southern,Diploma,Livingstone Tourism College,2013,Tourism Management,"Tour Guide License, Customer Service","English,Tonga,Lozi",Intermediate,6,Tour Guide,Self-Employed,Freelance,Southern,5000,8000,Immediate,"Tour Planning, Cultural Knowledge, Language Skills","Communication, Hospitality, Adaptability","[{""title"":""Tour Guide/Owner""","company:""Victoria Falls Tours""","location:""Livingstone""","start_date:""2016-04""","end_date:""Present""","description:""Operate own tour guiding business""","achievements:[""Maintained 4.9/5 customer rating""",Grew business by 40% annually]},"{""title"":""Tour Guide""","company:""Wilderness Safaris""","location:""Livingstone""","start_date:""2013-08""","end_date:""2016-03""","description:""Guided tourists to Victoria Falls and game parks""","achievements:[""Received multiple customer service awards""",Developed specialized cultural tours]}],"[{""name"":""Cultural Heritage Tours""","description:""Local culture and history tours""","technologies:""Tour Planning"," Customer Management""","duration:""Ongoing""}]","[{""name"":""Felix Chulu""","relationship:""Tourism Association Chair""","phone:""+260977234569""","email:""felix.chulu@tourism.org.zm""}]",7,
31,32,Felix Nyirongo,261000000000.0,felix.nyirongo@email.com,Male,12/11/1986,Zambian,Mongu,Western,Certificate,Mongu Technical School,2005,Carpentry,"Trade Test, Furniture Making","English,Lozi",Basic,14,Master Carpenter,Self-Employed,Contract,Western,5500,8500,Immediate,"Woodworking, Furniture Design, Blueprint Reading","Creativity, Quality Focus, Customer Service","[{""title"":""Master Carpenter""","company:""Nyirongo Furniture""","location:""Mongu""","start_date:""2011-03""","end_date:""Present""","description:""Run custom furniture and carpentry business""","achievements:[""Supplied furniture to 50+ businesses""",Known for high-quality custom work]},"{""title"":""Carpenter""","company:""Various Construction Firms""","location:""Western Province""","start_date:""2005-07""","end_date:""2011-02""","description:""Worked on residential and commercial projects""","achievements:[""Specialized in custom cabinetry""",Trained 5 apprentice carpenters]}],"[{""name"":""Custom Furniture Line""","description:""Handcrafted furniture collection""","technologies:""Traditional Woodworking"," Modern Tools""","duration:""Ongoing""}]","[{""name"":""Michael Kasonde""","relationship:""Client""","phone:""+260955345680""","email:""michael.kasonde@email.com""}]",6,
32,33,Michael Sinkala,261000000000.0,michael.sinkala@email.com,Male,05/08/1990,Zambian,Chilanga,Lusaka,Bachelor's,University of Lusaka,2012,Economics,"Data Analysis, Statistical Software","English,Nyanja",Fluent,7,Economic Analyst,Employed,Full-time,Lusaka,12000,17000,3 weeks,"Economic Modeling, Data Analysis, Research, Report Writing","Analytical Thinking, Critical Analysis, Communication","[{""title"":""Economic Analyst""","company:""Bank of Zambia""","location:""Lusaka""","start_date:""2015-09""","end_date:""Present""","description:""Analyze economic data and trends""","achievements:[""Improved forecasting accuracy by 20%""",Contributed to monetary policy decisions]},"{""title"":""Research Assistant""","company:""Zambia Institute for Policy Analysis""","location:""Lusaka""","start_date:""2012-10""","end_date:""2015-08""","description:""Supported economic research projects""","achievements:[""Co-authored 3 research papers""",Improved data collection methods]}],"[{""name"":""Economic Outlook Report""","description:""Quarterly economic analysis""","technologies:""Statistical Software"," Data Analysis""","duration:""Ongoing""}]","[{""name"":""Alex Sitali""","relationship:""Chief Economist""","phone:""+260966456791""","email:""alex.sitali@boz.zm""}]",9,
34,35,Annie Ndhlovu,261000000000.0,annie.ndhlovu@email.com,Female,15/10/1992,Zambian,Solwezi,North-Western,Bachelor's,North-Western University,2013,Psychology,"Counseling Certified, Mental Health First Aid","English,Kaonde",Fluent,6,Counselor,Employed,Full-time,North-Western,8000,11500,1 month,"Counseling, Assessment, Crisis Intervention","Empathy, Active Listening, Confidentiality","[{""title"":""Counselor""","company:""Ministry of Health""","location:""Solwezi""","start_date:""2016-07""","end_date:""Present""","description:""Provide counseling and mental health services""","achievements:[""Helped 300+ clients with mental health issues""",Developed community support groups]},"{""title"":""Counseling Intern""","company:""University Teaching Hospital""","location:""Lusaka""","start_date:""2013-09""","end_date:""2016-06""","description:""Provided counseling under supervision""","achievements:[""Specialized in trauma counseling""",Improved patient outcomes]}],"[{""name"":""Mental Health Awareness""","description:""Community education program""","technologies:""Counseling Techniques"," Assessment Tools""","duration:""9 months""}]","[{""name"":""Andrew Kaoma""","relationship:""Clinical Supervisor""","phone:""+260955678903""","email:""andrew.kaoma@gov.zm""}]",8,
35,36,Andrew Simfukwe,261000000000.0,andrew.simfukwe@email.com,Male,07/04/1988,Zambian,Chingola,Copperbelt,Bachelor's,Copperbelt University,2009,Electrical Engineering,"Professional Engineer, Project Management","English,Bemba",Fluent,10,Electrical Engineer,Employed,Full-time,Copperbelt,18000,24000,1 month,"Power Systems, Electrical Design, Project Management","Leadership, Technical Expertise, Safety Focus","[{""title"":""Senior Electrical Engineer""","company:""ZESCO""","location:""Kitwe""","start_date:""2015-03""","end_date:""Present""","description:""Design and manage electrical power projects""","achievements:[""Completed $8M substation project on budget""",Improved grid reliability by 25%]},"{""title"":""Electrical Engineer""","company:""Copperbelt Energy Corporation""","location:""Chingola""","start_date:""2009-08""","end_date:""2015-02""","description:""Designed electrical systems and managed projects""","achievements:[""Reduced project costs by 15%""",Improved safety standards]}],"[{""name"":""Grid Modernization Project""","description:""Power infrastructure upgrade""","technologies:""Power Systems", SCADA," Protection""","duration:""24 months""}]","[{""name"":""Mathews Chibuye""","relationship:""Chief Engineer""","phone:""+260966789014""","email:""mathews.chibuye@zesco.co.zm""}]",
36,37,Mathews Sinyangwe,261000000000.0,mathews.sinyangwe@email.com,Male,19/07/1991,Zambian,Kalumbila,North-Western,Diploma,Solwezi Technical School,2011,Heavy Equipment,"Equipment Operation, Maintenance","English,Kaonde,Lunda",Intermediate,8,Heavy Equipment Operator,Employed,Full-time,North-Western,11000,15000,2 weeks,"Excavator, Bulldozer, Loader Operation, Maintenance","Safety Consciousness, Precision, Teamwork","[{""title"":""Heavy Equipment Operator""","company:""First Quantum Minerals""","location:""Kalumbila""","start_date:""2015-08""","end_date:""Present""","description:""Operate heavy equipment in mining operations""","achievements:[""Maintained perfect safety record for 3 years""",Improved operational efficiency by 20%]},"{""title"":""Equipment Operator""","company:""Lumwana Mine""","location:""Solwezi""","start_date:""2011-11""","end_date:""2015-07""","description:""Operated various mining equipment""","achievements:[""Certified on multiple equipment types""",Trained 4 new operators]}],"[{""name"":""Pit Development Project""","description:""Mine expansion operations""","technologies:""Heavy Equipment"," GPS Guidance""","duration:""12 months""}]","[{""name"":""Anna Chilufya""","relationship:""Operations Supervisor""","phone:""+260977890125""","email:""anna.chilufya@fqml.co.zm""}]",7,
37,38,Anna Kumwenda,261000000000.0,anna.kumwenda@email.com,Female,28/12/1994,Zambian,Lundazi,Eastern,Bachelor's,University of Zambia,2015,Agriculture,"Agronomy, Crop Science","English,Nyanja,Chewa",Fluent,4,Agricultural Extension Officer,Employed,Full-time,Eastern,7000,10000,1 month,"Crop Management, Soil Science, Farmer Training","Teaching, Communication, Problem-solving","[{""title"":""Agricultural Extension Officer""","company:""Ministry of Agriculture""","location:""Lundazi""","start_date:""2017-01""","end_date:""Present""","description:""Train farmers and promote modern techniques""","achievements:[""Increased crop yields by 30% in assigned area""",Trained 200+ farmers in sustainable practices]},"{""title"":""Field Officer""","company:""Care International""","location:""Chipata""","start_date:""2015-08""","end_date:""2016-12""","description:""Implemented agricultural development projects""","achievements:[""Improved farmer adoption rates""",Developed successful demonstration plots]}],"[{""name"":""Sustainable Agriculture Program""","description:""Conservation farming initiative""","technologies:""Soil Testing"," Irrigation Methods""","duration:""10 months""}]","[{""name"":""Doreen Chisenga""","relationship:""District Agricultural Officer""","phone:""+260955901236""","email:""doreen.chisenga@gov.zm""}]",6,
